Rk;Squad;Country;LgRk;MP;W;D;L;GF;GA;GD;Pts;Pts/MP;xG;xGA;xGD;xGD/90;Attendance;Top Team Scorer;Goalkeeper;Anno;# Pl;Poss;90s;Touches;Def Pen;Def 3rd;Mid 3rd;Att 3rd;Att Pen;Live;Succ;Att;Succ%;Mis;Dis;Rec;Prog
82;Celta Vigo;es ESP;17;38;7;16;15;37;49;-12;37;0.97;39.2;45.3;-6.1;-0.16;11995;Iago Aspas - 14;Rubén Blanco;19-20;30;51.7;38;22467;2306;7520;10311;4854;579;22458;370;610;60.7;541;375;14377;938
23;Chelsea;eng ENG;4;38;20;6;12;69;54;15;66;1.74;69.2;38.6;30.6;0.81;32023;Tammy Abraham - 15;Kepa Arrizabalaga;19-20;27;60.4;38;29409;2285;8316;13980;7362;1059;29402;460;718;64.1;583;414;20797;1279
67;Crystal Palace;eng ENG;14;38;11;10;17;31;50;-19;43;1.13;35.8;57;-21.2;-0.56;19784;Jordan Ayew - 9;Vicente Guaita;19-20;25;44.8;38;20833;2395;7284;8983;4817;789;20830;432;698;61.9;611;479;12121;896
74;Dijon;fr FRA;16;28;7;9;12;27;37;-10;30;1.07;30.5;38.4;-8;-0.28;12707;Mama Samba Baldé - 6;Alfred Gomis;19-20;28;46.5;28;16261;1862;5959;7489;3011;492;16260;312;543;57.5;469;303;9965;678
11;Dortmund;de GER;2;34;21;6;7;84;41;43;69;2.03;61;40.9;20.1;0.59;57297;Jadon Sancho - 17;Roman Bürki;19-20;27;60.4;34;27523;1958;7860;13601;6276;845;27521;468;750;62.4;494;351;20453;1232
90;Düsseldorf;de GER;17;34;6;12;16;36;67;-31;30;0.88;35.9;60.7;-24.8;-0.73;30581;Rouwen Hennings - 15;Zack Steffen, Florian Kastenmeier;19-20;28;45.6;34;18656;2038;6473;8167;4201;541;18652;257;453;56.7;476;272;11211;937
70;Eibar;es ESP;14;38;11;9;18;39;56;-17;42;1.11;42;53;-11;-0.29;4151;Fabián Orellana - 8;Marko Dmitrovi?;19-20;26;46.3;38;19414;1786;5173;9067;5413;628;19404;260;458;56.8;564;355;10267;814
51;Eint Frankfurt;de GER;9;34;13;6;15;59;60;-1;45;1.32;59.5;49.9;9.6;0.28;35435;André Silva - 12;Kevin Trapp;19-20;27;50.9;34;20274;1993;6423;9255;4837;754;20272;330;520;63.5;523;301;12104;1025
93;Espanyol;es ESP;20;38;5;10;23;27;58;-31;25;0.66;38.6;51;-12.4;-0.33;1626;Raúl de Tomás, David López... - 4;Diego López;19-20;31;47.4;38;20200;2105;6862;9222;4355;591;20196;281;489;57.5;576;331;11711;880
57;Everton;eng ENG;12;38;13;10;15;44;56;-12;49;1.29;50.8;48.3;2.5;0.07;28848;Dominic Calvert-Lewin, Richarlison - 13;Jordan Pickford;19-20;24;49;38;21914;2522;7397;9516;5228;831;21913;374;609;61.4;593;345;13302;1009
53;Fiorentina;it ITA;10;38;12;13;13;51;48;3;49;1.29;53.6;48.9;4.7;0.12;22486;Federico Chiesa - 10;Bart?omiej Dr?gowski;19-20;33;47.4;38;21263;2217;6735;9359;5431;844;21252;428;670;63.9;595;388;13430;1062
42;Freiburg;de GER;8;34;13;9;12;48;47;1;48;1.41;46.7;64.6;-17.8;-0.52;16888;Nils Petersen - 11;Alexander Schwolow;19-20;26;48.1;34;19514;2569;7342;8218;4143;651;19508;249;452;55.1;521;259;11891;808
81;Genoa;it ITA;17;38;10;9;19;47;73;-26;39;1.03;48.7;60;-11.3;-0.3;14016;Goran Pandev - 9;Mattia Perin;19-20;34;49.5;38;22057;2715;7633;9812;4850;640;22042;335;565;59.3;558;349;14155;926
39;Getafe;es ESP;8;38;14;12;12;43;37;6;54;1.42;41.6;41.4;0.2;0;8;Jaime Mata - 11;David Soria;19-20;30;45;38;17632;1491;4854;7861;5147;643;17625;274;476;57.6;635;318;8143;860
32;Granada;es ESP;7;38;16;8;14;52;45;7;56;1.47;44.9;42.6;2.3;0.06;11174;Carlos Fernández - 10;Rui Silva;19-20;27;43.8;38;17946;2233;6285;7583;4311;576;17941;300;553;54.2;486;290;9645;705
